experiment,pair,kind,same_script,n,eflomal_score
ton,mri->ton,source-target,True,3000,0.1737
ton,ind->ton,source-target,True,3000,0.2852
ton,ceb->ton,source-target,True,3000,0.2357
ton,tgl->ton,source-target,True,3000,0.2253
ton,mri~ind,source-source,True,3000,0.2964
ton,mri~ceb,source-source,True,3000,inf
ton,mri~tgl,source-source,True,3000,0.2391
ton,ind~ceb,source-source,True,3000,0.2964
ton,ind~tgl,source-source,True,3000,0.2993
ton,ceb~tgl,source-source,True,3000,inf
nde,sna->nde,source-target,True,3000,0.4132
nde,tsn->nde,source-target,True,3000,0.6355
nde,swh->nde,source-target,True,3000,0.4786
nde,lin->nde,source-target,True,3000,0.4771
nde,sna~tsn,source-source,True,3000,0.5798
nde,sna~swh,source-source,True,3000,0.4056
nde,sna~lin,source-source,True,3000,0.418
nde,tsn~swh,source-source,True,3000,0.4831
nde,tsn~lin,source-source,True,3000,0.3506
nde,swh~lin,source-source,True,3000,0.3189
mdy,amh->mdy,source-target,True,3000,0.6578
mdy,arb->mdy,source-target,False,3000,0.6852
mdy,heb->mdy,source-target,False,3000,0.6695
mdy,gaz->mdy,source-target,False,3000,0.5127
mdy,amh~arb,source-source,False,3000,0.783
mdy,amh~heb,source-source,False,3000,0.7607
mdy,amh~gaz,source-source,False,3000,0.6365
mdy,arb~heb,source-source,False,3000,0.4068
mdy,arb~gaz,source-source,False,3000,0.6316
mdy,heb~gaz,source-source,False,3000,0.6174
rmc,hin->rmc,source-target,False,3000,0.3683
rmc,mar->rmc,source-target,False,3000,0.4693
rmc,guj->rmc,source-target,False,3000,0.4361
rmc,asm->rmc,source-target,False,3000,0.4519
rmc,hin~mar,source-source,True,3000,0.3375
rmc,hin~guj,source-source,False,3000,0.2658
rmc,hin~asm,source-source,False,3000,0.3233
rmc,mar~guj,source-source,False,3000,0.3301
rmc,mar~asm,source-source,False,3000,0.3761
rmc,guj~asm,source-source,False,3000,0.3399
control_ilo,mri->ilo,source-target,True,3000,0.2837
control_ilo,ind->ilo,source-target,True,3000,0.3307
control_ilo,ceb->ilo,source-target,True,3000,0.2024
control_ilo,tgl->ilo,source-target,True,3000,0.1999
control_ilo,mri~ind,source-source,True,3000,0.2998
control_ilo,mri~ceb,source-source,True,3000,0.2498
control_ilo,mri~tgl,source-source,True,3000,0.2429
control_ilo,ind~ceb,source-source,True,3000,0.2959
control_ilo,ind~tgl,source-source,True,3000,0.2998
control_ilo,ceb~tgl,source-source,True,3000,0.1688
